Country,Confirmed_x,Deaths_x,Recovered_x,Active_x,NewCases_x,NewDeaths_x,NewRecovered_x,Deaths_per_100_cases,Recovered_per_100_cases,Deaths_per_100_Recovered,Confirmed_last_week,1_week_change,1_week_percent_increase,WHO_Region_x,Continent,Population,Confirmed_y,NewCases_y,Deaths_y,NewDeaths_y,Recovered_y,NewRecovered_y,Active_y,Serious_or_Critical,Tot_Cases_per_1M_pop,Deaths_per_1M_pop,TotalTests,Tests_per_1M_pop,WHO_Region_y
Switzerland,34477,1978,30900,1599,65,1,200,5.74,89.62,6.4,33634,843,2.51,Europe,Europe,8660952.0,36108.0,0.0,1985.0,0.0,31600.0,0.0,2523.0,23.0,4169.0,229.0,822764.0,94997.0,Europe
Syria,674,40,0,634,24,2,0,5.93,0.0,inf,522,152,29.12,Eastern Mediterranean,Asia,17539600.0,999.0,0.0,48.0,0.0,311.0,0.0,640.0,0.0,57.0,3.0,0.0,0.0,EasternMediterranean
Taiwan*,462,7,440,15,4,0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tajikistan,7235,60,6028,1147,43,1,58,0.83,83.32,1.0,6921,314,4.54,Europe,Asia,9557468.0,7665.0,0.0,62.0,0.0,6443.0,0.0,1160.0,0.0,802.0,6.0,0.0,0.0,Europe
Tanzania,509,21,183,305,0,0,0,4.13,35.95,11.48,509,0,0.0,Africa,Africa,59886383.0,509.0,0.0,21.0,0.0,183.0,0.0,305.0,7.0,8.0,0.4,0.0,0.0,Africa
Thailand,3297,58,3111,128,6,0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia,Asia,69817894.0,3330.0,0.0,58.0,0.0,3148.0,0.0,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia
Timor-Leste,24,0,0,24,0,0,0,0.0,0.0,0.0,24,0,0.0,South-East Asia,Asia,1320812.0,25.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,19.0,0.0,4238.0,3209.0,South-EastAsia
Togo,874,18,607,249,6,0,8,2.06,69.45,2.97,783,91,11.62,Africa,Africa,8296582.0,1012.0,0.0,22.0,0.0,697.0,0.0,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa
Trinidad and Tobago,148,8,128,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas,North America,1399950.0,210.0,0.0,8.0,0.0,135.0,0.0,67.0,0.0,150.0,6.0,9559.0,6828.0,Americas
Tunisia,1455,50,1157,248,3,0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean,Africa,11830801.0,1642.0,0.0,51.0,0.0,1241.0,0.0,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean
Turkey,227019,5630,210469,10920,919,17,982,2.48,92.71,2.67,220572,6447,2.92,Europe,Asia,84428331.0,237265.0,0.0,5798.0,0.0,220546.0,0.0,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe
USA,4290259,148011,1325804,2816444,56336,1076,27941,3.45,30.9,11.16,3834677,455582,11.88,Americas,North America,331198130.0,5032179.0,0.0,162804.0,0.0,2576668.0,0.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas
Uganda,1128,2,986,140,13,0,4,0.18,87.41,0.2,1069,59,5.52,Africa,Africa,45867852.0,1223.0,0.0,5.0,0.0,1102.0,0.0,116.0,0.0,27.0,0.1,288367.0,6287.0,Africa
Ukraine,67096,1636,37202,28258,835,11,317,2.44,55.45,4.4,60767,6329,10.42,Europe,Europe,43705858.0,76808.0,0.0,1819.0,0.0,42524.0,0.0,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe
United Arab Emirates,59177,345,52510,6322,264,1,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
United Kingdom,301708,45844,1437,254427,688,7,3,15.19,0.48,3190.26,296944,4764,1.6,Europe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Uruguay,1202,35,951,216,10,1,3,2.91,79.12,3.68,1064,138,12.97,Americas,South America,3474956.0,1318.0,0.0,37.0,0.0,1079.0,0.0,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas
Uzbekistan,21209,121,11674,9414,678,5,569,0.57,55.04,1.04,17149,4060,23.67,Europe,Asia,33516027.0,28315.0,0.0,175.0,0.0,19291.0,0.0,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe
Venezuela,15988,146,9959,5883,525,4,213,0.91,62.29,1.47,12334,3654,29.63,Americas,South America,28427499.0,22299.0,0.0,195.0,0.0,12146.0,0.0,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas
Vietnam,431,0,365,66,11,0,0,0.0,84.69,0.0,384,47,12.24,Western Pacific,Asia,97425470.0,747.0,0.0,10.0,0.0,392.0,0.0,345.0,0.0,8.0,0.1,482456.0,4952.0,WesternPacific
West Bank and Gaza,10621,78,3752,6791,152,2,0,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Western Sahara,10,1,8,1,0,0,0,10.0,80.0,12.5,10,0,0.0,Africa,Africa,598682.0,10.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,Africa
Yemen,1691,483,833,375,10,4,36,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean,Asia,29886897.0,1768.0,0.0,508.0,0.0,898.0,0.0,362.0,0.0,59.0,17.0,120.0,4.0,EasternMediterranean
Zambia,4552,140,2815,1597,71,1,465,3.08,61.84,4.97,3326,1226,36.86,Africa,Africa,18430129.0,7164.0,0.0,199.0,0.0,5786.0,0.0,1179.0,0.0,389.0,11.0,90307.0,4900.0,Africa
